"file_name","uid","sex","yrborn","col_area"
"UID_19_46","19_46","F",1999,"picnic_lower"
"UID_2686_2690","2686_2690","F",2002,"picnic_lower"
"UID_2793_2821","2793_2821","F",2002,"picnic_lower"
"UID_2805_2809","2805_2809","F",2002,"picnic_lower"
"UID_2822_2876","2822_2876","F",2002,"picnic_lower"
"UID_3166_3174","3166_3174","F",2002,"picnic_lower"
"UID_37_247","37_247","F",1999,"picnic_lower"
"UID_4052_4051","4052_4051","F",2002,"picnic_upper"
"UID_4229_4217","4229_4217","F",2004,"boulder"
"UID_4463_6212","4463_6212","F",2022,"gothictown"
"UID_4508_4512","4508_4512","F",2004,"picnic_lower"
"UID_4692_4681","4692_4681","F",2004,"boulder"
"UID_48_47","48_47","F",1999,"picnic_lower"
"UID_4901_5896","4901_5896","F",2005,"picnic_lower"
"UID_5263_5249","5263_5249","F",2007,"mm_maintalus"
"UID_5285_5088","5285_5088","F",2006,"mm_maintalus"
"UID_5501_5503","5501_5503","F",2007,"picnic_lower"
"UID_5540_5546","5540_5546","F",2008,"picnic_lower"
"UID_6222_9940","6222_9940","F",2022,"river_rivermound"
"UID_6687_6677","6687_6677","F",2012,"river_rivermound"
"UID_6779_6729","6779_6729","F",2009,"picnic_lower"
"UID_6794_6799","6794_6799","F",2009,"picnic_middle"
"UID_6835_6898","6835_6898","F",2010,"boulder"
"UID_7131_7126","7131_7126","F",2012,"picnic_lower"
"UID_7289_6695","7289_6695","F",2013,"picnic_lower"
"UID_7365_7368","7365_7368","F",2014,"picnic_lower"
"UID_7407_7412","7407_7412","F",2013,"cliff_upper"
"UID_7559_7225","7559_7225","F",2012,"boulder"
"UID_7565_7355","7565_7355","F",2014,"picnic_lower"
"UID_7635_7645","7635_7645","F",2015,"northpk"
"UID_7698_7699","7698_7699","F",2015,"mm_aspen"
"UID_7712_7379","7712_7379","F",2017,"gothictown"
"UID_7733_7734","7733_7734","F",2015,"mm_aspen"
"UID_8089_8088","8089_8088","F",2016,"mm_aspen"
"UID_8203_8206","8203_8206","F",2016,"northpk"
"UID_8246_8319","8246_8319","F",2017,"picnic_lower"
"UID_8254_8259","8254_8259","F",2017,"avalanche"
"UID_8281_8332","8281_8332","F",2021,"horsemound"
"UID_8383_8380","8383_8380","F",2018,"gothictown"
"UID_8429_8725","8429_8725","F",2019,"gothictown"
"UID_8476_8478","8476_8478","F",2017,"mm_maintalus"
"UID_8480_8352","8480_8352","F",2018,"northpk"
"UID_8491_8492","8491_8492","F",2017,"mm_maintalus"
"UID_8513_8503","8513_8503","F",2018,"bench"
"UID_8536_7837","8536_7837","F",2018,"bench"
"UID_8554_8555","8554_8555","F",2018,"gothictown"
"UID_8592_8249","8592_8249","M",NA,"rvannex"
"UID_8606_9166","8606_9166","F",2021,"gothictown"
"UID_8630_8642","8630_8642","M",2020,"picnic_lower"
"UID_8649_8640","8649_8640","F",2020,"picnic_lower"
"UID_8673_8664","8673_8664","F",2020,"gothictown"
"UID_8680_8696","8680_8696","F",2020,"picnic_lower"
"UID_8689_8684","8689_8684","M",2020,"northpk"
"UID_8694_8697","8694_8697","F",2020,"northpk"
"UID_8718_8745","8718_8745","M",NA,"gothictown"
"UID_8740_8749","8740_8749","M",2020,"gothictown"
"UID_8742_8324","8742_8324","F",NA,"northpk"
"UID_8768_8831","8768_8831","F",2020,"bench"
"UID_8770_8763","8770_8763","F",2020,"bench"
"UID_8784_8788","8784_8788","M",2020,"gothictown"
"UID_8851_6988","8851_6988","F",2020,"bench"
"UID_8854_8837","8854_8837","M",2020,"gothictown"
"UID_8863_8857","8863_8857","F",2020,"bench"
"UID_8864_8871","8864_8871","M",2020,"bench"
"UID_8878_8876","8878_8876","F",2020,"bench"
"UID_8903_8951","8903_8951","F",2018,"picnic_lower"
"UID_8918_8385","8918_8385","F",2018,"picnic_lower"
"UID_8943_8950","8943_8950","F",2018,"rvannex"
"UID_8944_8934","8944_8934","F",2020,"bench"
"UID_8945_8023","8945_8023","F",2020,"bench"
"UID_8961_8625","8961_8625","F",2022,"picnic_lower"
"UID_8986_8990","8986_8990","F",2018,"picnic_lower"
"UID_9053_9067","9053_9067","F",2020,"picnic_lower"
"UID_9054_9063","9054_9063","M",2020,"picnic_lower"
"UID_9055_9061","9055_9061","F",2020,"picnic_lower"
"UID_9064_9065","9064_9065","F",2020,"picnic_lower"
"UID_9069_9070","9069_9070","F",2021,"mm_aspen"
"UID_9074_9906","9074_9906","M",2020,"picnic_lower"
"UID_9114_9601","9114_9601","F",2021,"northpk"
"UID_9184_8816","9184_8816","M",2022,"northpk"
"UID_9234_9239","9234_9239","F",2022,"river_sagemound"
"UID_9240_9241","9240_9241","M",2022,"picnic_lower"
"UID_9260_9253","9260_9253","F",2022,"northpk"
"UID_9265_9261","9265_9261","M",2022,"river_sagemound"
"UID_9276_9291","9276_9291","M",2022,"picnic_lower"
"UID_9627_9643","9627_9643","F",2021,"picnic_upper"
"UID_9628_9608","9628_9608","M",2021,"picnic_lower"
"UID_9644_9228","9644_9228","M",2022,"picnic_lower"
"UID_9660_9273","9660_9273","F",2022,"river_sagemound"
"UID_9725_9056","9725_9056","M",2022,"river_sagemound"
"UID_9747_8635","9747_8635","M",2021,"picnic_lower"
"UID_9748_9728","9748_9728","M",2022,"picnic_lower"
"UID_9753_9297","9753_9297","M",2022,"river_sagemound"
"UID_9757_9008","9757_9008","F",2022,"river_rivermound"
"UID_9829_9831","9829_9831","F",2021,"picnic_lower"
"UID_9843_9684","9843_9684","F",2022,"river_rivermound"
"UID_9898_8637","9898_8637","M",2022,"picnic_lower"
"UID_9911_9902","9911_9902","F",2022,"picnic_lower"
"UID_9926_4419","9926_4419","M",NA,"picnic_upper"
"UID_9954_9924","9954_9924","M",2022,"river_rivermound"
"UID_9979_9976","9979_9976","M",2022,"picnic_lower"
