"","id","dam","sire","LLRdam","LLRsire","LLRpair","OHdam","OHsire","MEpair"
"1","cUID_unk_4167_marmot4167","UID_5501_5503","M0029",NA,NA,NA,3,NA,NA
"2","RMBL_marmot_05-06","F0009","M0010",NA,NA,NA,NA,NA,NA
"3","RMBL_marmot_no_label_MS125_May2024","F0009","M0010",NA,NA,NA,NA,NA,NA
"4","UID_10009_10025","UID_8768_8831","UID_8864_8871",NA,NA,NA,0,0,1
"5","UID_10010_10019","F0024","M0027",NA,NA,NA,NA,NA,NA
"6","UID_10041_9876","UID_9064_9065",NA,NA,NA,NA,1,NA,NA
"7","UID_10048_10061","F0008","M0011",NA,NA,NA,NA,NA,NA
"8","UID_10052_10034","F0040","UID_9054_9063",NA,NA,NA,NA,2,NA
"9","UID_10054_10194","UID_8944_8934","UID_8864_8871",NA,NA,NA,0,0,0
"10","UID_10056_10055","F0017","M0014",NA,NA,NA,NA,NA,NA
"11","UID_10067_10185","F0028","M0031",NA,NA,NA,NA,NA,NA
"12","UID_10070_10071","UID_9055_9061","M0014",NA,NA,NA,0,NA,NA
"13","UID_10073_10028","F0016","M0020",NA,NA,NA,NA,NA,NA
"14","UID_10083_10001","UID_8742_8324","M0037",NA,NA,NA,1,NA,NA
"15","UID_10089_10098","F0029","M0033",NA,NA,NA,NA,NA,NA
"16","UID_10095_10094","F0006","M0004",NA,NA,NA,NA,NA,NA
"17","UID_10100_10005","F0005","M0007",NA,NA,NA,NA,NA,NA
"18","UID_10106_4466","F0005","M0007",NA,NA,NA,NA,NA,NA
"19","UID_10112_6205","UID_9829_9831","M0010",NA,NA,NA,0,NA,NA
"20","UID_10145_10372","F0025","M0028",NA,NA,NA,NA,NA,NA
"21","UID_10146_10130","F0016","M0020",NA,NA,NA,NA,NA,NA
"22","UID_10147_10132","UID_10095_10094","UID_8864_8871",NA,NA,NA,0,1,3
"23","UID_10148_9348","F0013","M0015",NA,NA,NA,NA,NA,NA
"24","UID_10150_9248","F0032","M0036",NA,NA,NA,NA,NA,NA
"25","UID_10155_10111","F0028","M0031",NA,NA,NA,NA,NA,NA
"26","UID_10159_10161","F0034","M0019",NA,NA,NA,NA,NA,NA
"27","UID_10165_10102",NA,NA,NA,NA,NA,NA,NA,NA
"28","UID_10172_10167","F0034","M0019",NA,NA,NA,NA,NA,NA
"29","UID_10175_10121","UID_10095_10094","M0019",NA,NA,NA,0,NA,NA
"30","UID_10176_10035",NA,NA,NA,NA,NA,NA,NA,NA
"31","UID_10181_10436","F0019","M0022",NA,NA,NA,NA,NA,NA
"32","UID_10187_9267","F0039","UID_9054_9063",NA,NA,NA,NA,2,NA
"33","UID_10189_10179","F0023","M0026",NA,NA,NA,NA,NA,NA
"34","UID_10200_10928","F0005","M0007",NA,NA,NA,NA,NA,NA
"35","UID_10212_10207","UID_8480_8352","M0039",NA,NA,NA,3,NA,NA
"36","UID_10215_9310",NA,NA,NA,NA,NA,NA,NA,NA
"37","UID_10218_10220","F0005","M0007",NA,NA,NA,NA,NA,NA
"38","UID_10221_10219","F0008","M0011",NA,NA,NA,NA,NA,NA
"39","UID_10222_10214","F0003","M0005",NA,NA,NA,NA,NA,NA
"40","UID_10225_10242","F0024","M0009",NA,NA,NA,NA,NA,NA
"41","UID_10235_10085","F0002","M0003",NA,NA,NA,NA,NA,NA
"42","UID_10243_10245","F0025","M0028",NA,NA,NA,NA,NA,NA
"43","UID_10248_10247","UID_7635_7645","UID_10083_10001",NA,NA,NA,0,0,0
"44","UID_10249_10250",NA,NA,NA,NA,NA,NA,NA,NA
"45","UID_10252_10295","F0023","M0026",NA,NA,NA,NA,NA,NA
"46","UID_10254_10256","F0007","M0008",NA,NA,NA,NA,NA,NA
"47","UID_10261_10262","F0007","M0008",NA,NA,NA,NA,NA,NA
"48","UID_10266_10265","UID_8089_8088",NA,NA,NA,NA,1,NA,NA
"49","UID_10276_10092","F0024","M0027",NA,NA,NA,NA,NA,NA
"50","UID_10279_10282",NA,NA,NA,NA,NA,NA,NA,NA
"51","UID_10287_10267","UID_8768_8831","UID_8864_8871",NA,NA,NA,0,1,1
"52","UID_10292_10398","UID_8878_8876","UID_8864_8871",NA,NA,NA,0,3,3
"53","UID_10293_10289",NA,NA,NA,NA,NA,NA,NA,NA
"54","UID_10304_10333","F0010","M0012",NA,NA,NA,NA,NA,NA
"55","UID_10318_9454",NA,NA,NA,NA,NA,NA,NA,NA
"56","UID_10332_10412","F0011","M0013",NA,NA,NA,NA,NA,NA
"57","UID_10337_10361",NA,NA,NA,NA,NA,NA,NA,NA
"58","UID_10339_10402","F0010","M0012",NA,NA,NA,NA,NA,NA
"59","UID_10341_10403","F0011","M0013",NA,NA,NA,NA,NA,NA
"60","UID_10343_10345","F0022","M0025",NA,NA,NA,NA,NA,NA
"61","UID_10354_10305","F0010","M0012",NA,NA,NA,NA,NA,NA
"62","UID_10357_10359","F0037","UID_9074_9906",NA,NA,NA,NA,0,NA
"63","UID_10363_10311","F0038","M0038",NA,NA,NA,NA,NA,NA
"64","UID_10369_10008","UID_8878_8876","UID_8864_8871",NA,NA,NA,1,0,3
"65","UID_10371_10389","UID_8878_8876","UID_8864_8871",NA,NA,NA,3,0,3
"66","UID_10382_10273","F0018","M0021",NA,NA,NA,NA,NA,NA
"67","UID_10386_10383","UID_8246_8319","UID_9628_9608",NA,NA,NA,0,1,1
"68","UID_10388_10375","UID_8878_8876","UID_8864_8871",NA,NA,NA,1,0,1
"69","UID_10409_10353","F0038","M0038",NA,NA,NA,NA,NA,NA
"70","UID_10416_10422","F0013","M0015",NA,NA,NA,NA,NA,NA
"71","UID_10418_10051",NA,NA,NA,NA,NA,NA,NA,NA
"72","UID_10421_4461",NA,NA,NA,NA,NA,NA,NA,NA
"73","UID_10437_10428","F0010","M0012",NA,NA,NA,NA,NA,NA
"74","UID_19_46","F0035","M0018",NA,NA,NA,NA,NA,NA
"75","UID_2686_2690","F0026","M0029",NA,NA,NA,NA,NA,NA
"76","UID_2793_2821",NA,"M0029",NA,NA,NA,NA,NA,NA
"77","UID_2805_2809","F0026","M0029",NA,NA,NA,NA,NA,NA
"78","UID_2822_2876","UID_48_47","M0029",NA,NA,NA,0,NA,NA
"79","UID_3166_3174","UID_19_46","M0029",NA,NA,NA,2,NA,NA
"80","UID_37_247",NA,NA,NA,NA,NA,NA,NA,NA
"81","UID_4052_4051","F0027","M0030",NA,NA,NA,NA,NA,NA
"82","UID_4229_4217",NA,NA,NA,NA,NA,NA,NA,NA
"83","UID_4384_noear","F0027","M0030",NA,NA,NA,NA,NA,NA
"84","UID_4405_10284","F0023","M0026",NA,NA,NA,NA,NA,NA
"85","UID_4414_9552","UID_7635_7645","UID_10083_10001",NA,NA,NA,0,0,0
"86","UID_4463_6212","UID_7712_7379","UID_8718_8745",NA,NA,NA,3,1,4
"87","UID_4508_4512",NA,NA,NA,NA,NA,NA,NA,NA
"88","UID_4692_4681",NA,NA,NA,NA,NA,NA,NA,NA
"89","UID_48_47","F0035","M0018",NA,NA,NA,NA,NA,NA
"90","UID_4901_5896","UID_2822_2876",NA,NA,NA,NA,0,NA,NA
"91","UID_5263_5249",NA,NA,NA,NA,NA,NA,NA,NA
"92","UID_5501_5503","UID_3166_3174",NA,NA,NA,NA,2,NA,NA
"93","UID_5540_5546","F0004","M0006",NA,NA,NA,NA,NA,NA
"94","UID_6687_6677","F0034","M0019",NA,NA,NA,NA,NA,NA
"95","UID_6779_6729","F0004","M0006",NA,NA,NA,NA,NA,NA
"96","UID_6794_6799","F0004","M0006",NA,NA,NA,NA,NA,NA
"97","UID_6835_6898",NA,NA,NA,NA,NA,NA,NA,NA
"98","UID_7131_7126","UID_4508_4512",NA,NA,NA,NA,2,NA,NA
"99","UID_7289_6695","UID_6779_6729","M0032",NA,NA,NA,2,NA,NA
"100","UID_7365_7368","F0036","M0032",NA,NA,NA,NA,NA,NA
"101","UID_7407_7412",NA,NA,NA,NA,NA,NA,NA,NA
"102","UID_7559_7225",NA,NA,NA,NA,NA,NA,NA,NA
"103","UID_7565_7355","UID_6794_6799","M0032",NA,NA,NA,0,NA,NA
"104","UID_7635_7645",NA,NA,NA,NA,NA,NA,NA,NA
"105","UID_7698_7699","F0015","M0017",NA,NA,NA,NA,NA,NA
"106","UID_7712_7379",NA,NA,NA,NA,NA,NA,NA,NA
"107","UID_7733_7734","F0015","M0017",NA,NA,NA,NA,NA,NA
"108","UID_8089_8088","F0015","M0017",NA,NA,NA,NA,NA,NA
"109","UID_8203_8206",NA,NA,NA,NA,NA,NA,NA,NA
"110","UID_8246_8319","F0009","M0014",NA,NA,NA,NA,NA,NA
"111","UID_8254_8259",NA,NA,NA,NA,NA,NA,NA,NA
"112","UID_8281_8332",NA,NA,NA,NA,NA,NA,NA,NA
"113","UID_8383_8380","F0031","M0035",NA,NA,NA,NA,NA,NA
"114","UID_8476_8478","F0001","M0001",NA,NA,NA,NA,NA,NA
"115","UID_8480_8352","UID_6835_6898","M0037",NA,NA,NA,1,NA,NA
"116","UID_8491_8492","F0001","M0001",NA,NA,NA,NA,NA,NA
"117","UID_8513_8503","UID_6687_6677","M0002",NA,NA,NA,2,NA,NA
"118","UID_8536_7837","UID_6687_6677","M0002",NA,NA,NA,3,NA,NA
"119","UID_8592_8249",NA,NA,NA,NA,NA,NA,NA,NA
"120","UID_8606_9166","F0020","M0023",NA,NA,NA,NA,NA,NA
"121","UID_8621_8609","F0023","M0026",NA,NA,NA,NA,NA,NA
"122","UID_8649_8640","F0009","M0014",NA,NA,NA,NA,NA,NA
"123","UID_8673_8664","UID_7712_7379",NA,NA,NA,NA,1,NA,NA
"124","UID_8680_8696","UID_8918_8385","M0014",NA,NA,NA,0,NA,NA
"125","UID_8694_8697","F0021","M0024",NA,NA,NA,NA,NA,NA
"126","UID_8718_8745",NA,NA,NA,NA,NA,NA,NA,NA
"127","UID_8740_8749","F0020","M0023",NA,NA,NA,NA,NA,NA
"128","UID_8742_8324",NA,NA,NA,NA,NA,NA,NA,NA
"129","UID_8768_8831","F0006","M0004",NA,NA,NA,NA,NA,NA
"130","UID_8818_10180","F0032","M0036",NA,NA,NA,NA,NA,NA
"131","UID_8854_8837","F0031","M0035",NA,NA,NA,NA,NA,NA
"132","UID_8863_8857","UID_8536_7837","M0004",NA,NA,NA,1,NA,NA
"133","UID_8864_8871","UID_10215_9310","M0019",NA,NA,NA,0,NA,NA
"134","UID_8878_8876","UID_6687_6677","M0004",NA,NA,NA,2,NA,NA
"135","UID_8896_10188","UID_8878_8876","UID_8864_8871",NA,NA,NA,1,0,3
"136","UID_8918_8385","UID_7131_7126","M0014",NA,NA,NA,2,NA,NA
"137","UID_8943_8950",NA,NA,NA,NA,NA,NA,NA,NA
"138","UID_8944_8934",NA,NA,NA,NA,NA,NA,NA,NA
"139","UID_8961_8625","F0009","M0014",NA,NA,NA,NA,NA,NA
"140","UID_8986_8990","F0009","M0014",NA,NA,NA,NA,NA,NA
"141","UID_9054_9063","F0009","M0014",NA,NA,NA,NA,NA,NA
"142","UID_9055_9061","F0009","M0014",NA,NA,NA,NA,NA,NA
"143","UID_9064_9065","F0009","M0014",NA,NA,NA,NA,NA,NA
"144","UID_9069_9070",NA,NA,NA,NA,NA,NA,NA,NA
"145","UID_9074_9906","F0012","M0014",NA,NA,NA,NA,NA,NA
"146","UID_9184_8816",NA,NA,NA,NA,NA,NA,NA,NA
"147","UID_9225_9287",NA,NA,NA,NA,NA,NA,NA,NA
"148","UID_9234_9239","UID_8863_8857","UID_8592_8249",NA,NA,NA,2,2,4
"149","UID_9237_10013","F0010","M0012",NA,NA,NA,NA,NA,NA
"150","UID_9257_9422","F0008","UID_9054_9063",NA,NA,NA,NA,0,NA
"151","UID_9260_9253","UID_8742_8324",NA,NA,NA,NA,1,NA,NA
"152","UID_9268_9416","F0033","UID_9054_9063",NA,NA,NA,NA,0,NA
"153","UID_9276_9291","F0009","M0014",NA,NA,NA,NA,NA,NA
"154","UID_9278_9522",NA,NA,NA,NA,NA,NA,NA,NA
"155","UID_9280_10283","UID_8246_8319","UID_9628_9608",NA,NA,NA,0,3,3
"156","UID_9281_9502","F0018","M0021",NA,NA,NA,NA,NA,NA
"157","UID_9296_4421","F0018","M0021",NA,NA,NA,NA,NA,NA
"158","UID_9304_8601","UID_8480_8352","UID_9054_9063",NA,NA,NA,3,1,4
"159","UID_9330_9420",NA,"UID_10083_10001",NA,NA,NA,NA,3,NA
"160","UID_9340_9341","UID_8768_8831","UID_8864_8871",NA,NA,NA,0,0,0
"161","UID_9351_9369","F0005","M0007",NA,NA,NA,NA,NA,NA
"162","UID_9353_9355","F0002","M0003",NA,NA,NA,NA,NA,NA
"163","UID_9367_9587",NA,NA,NA,NA,NA,NA,NA,NA
"164","UID_9379_9981","F0006","M0004",NA,NA,NA,NA,NA,NA
"165","UID_9392_9978","F0030","M0034",NA,NA,NA,NA,NA,NA
"166","UID_9395_9389","F0005","M0007",NA,NA,NA,NA,NA,NA
"167","UID_9396_9397","F0007","M0008",NA,NA,NA,NA,NA,NA
"168","UID_9403_9425","F0014","M0016",NA,NA,NA,NA,NA,NA
"169","UID_9404_9413","F0003","M0005",NA,NA,NA,NA,NA,NA
"170","UID_9417_9406","F0022","M0025",NA,NA,NA,NA,NA,NA
"171","UID_9427_9171","UID_8986_8990","UID_9074_9906",NA,NA,NA,0,1,1
"172","UID_9429_9439",NA,NA,NA,NA,NA,NA,NA,NA
"173","UID_9437_9438","F0030","M0034",NA,NA,NA,NA,NA,NA
"174","UID_9446_9322","F0021","M0024",NA,NA,NA,NA,NA,NA
"175","UID_9447_9431","UID_8246_8319",NA,NA,NA,NA,0,NA,NA
"176","UID_9448_9449","F0030","M0034",NA,NA,NA,NA,NA,NA
"177","UID_9451_9426","UID_8246_8319","M0027",NA,NA,NA,0,NA,NA
"178","UID_9475_4418","F0018","M0021",NA,NA,NA,NA,NA,NA
"179","UID_9489_9481","F0007","M0008",NA,NA,NA,NA,NA,NA
"180","UID_9496_9398",NA,"UID_8864_8871",NA,NA,NA,NA,1,NA
"181","UID_9500_10123","F0022","M0025",NA,NA,NA,NA,NA,NA
"182","UID_9521_8460","F0023","M0026",NA,NA,NA,NA,NA,NA
"183","UID_9524_9523","F0005","M0007",NA,NA,NA,NA,NA,NA
"184","UID_9537_10197","F0019","M0022",NA,NA,NA,NA,NA,NA
"185","UID_9540_9544","F0014","M0016",NA,NA,NA,NA,NA,NA
"186","UID_9543_9539","F0030","M0034",NA,NA,NA,NA,NA,NA
"187","UID_9548_9538","F0023","M0026",NA,NA,NA,NA,NA,NA
"188","UID_9559_9553",NA,NA,NA,NA,NA,NA,NA,NA
"189","UID_9562_9473","F0003","M0005",NA,NA,NA,NA,NA,NA
"190","UID_9563_9466","F0029","M0033",NA,NA,NA,NA,NA,NA
"191","UID_9564_9469","F0003","M0005",NA,NA,NA,NA,NA,NA
"192","UID_9570_9002","F0024","M0009",NA,NA,NA,NA,NA,NA
"193","UID_9572_10366","F0008","UID_9054_9063",NA,NA,NA,NA,2,NA
"194","UID_9577_6214","F0005","M0007",NA,NA,NA,NA,NA,NA
"195","UID_9579_9547","UID_8768_8831","UID_8864_8871",NA,NA,NA,1,2,3
"196","UID_9583_10038","F0017","M0014",NA,NA,NA,NA,NA,NA
"197","UID_9592_9357","F0014","M0016",NA,NA,NA,NA,NA,NA
"198","UID_9593_9542",NA,"UID_8740_8749",NA,NA,NA,NA,3,NA
"199","UID_9627_9643","UID_8246_8319",NA,NA,NA,NA,1,NA,NA
"200","UID_9628_9608","F0009","M0014",NA,NA,NA,NA,NA,NA
"201","UID_9644_9228","F0009","M0010",NA,NA,NA,NA,NA,NA
"202","UID_9662_10178","F0033","UID_9054_9063",NA,NA,NA,NA,1,NA
"203","UID_9747_8635","F0009","M0014",NA,NA,NA,NA,NA,NA
"204","UID_9748_9728","F0009","M0014",NA,NA,NA,NA,NA,NA
"205","UID_9757_9008","UID_8536_7837","UID_8592_8249",NA,NA,NA,0,2,2
"206","UID_9829_9831",NA,"M0010",NA,NA,NA,NA,NA,NA
"207","UID_9843_9684","UID_8536_7837",NA,NA,NA,NA,2,NA,NA
"208","UID_9851_9852","UID_8863_8857","UID_8592_8249",NA,NA,NA,2,2,4
"209","UID_9898_8637","F0009","M0014",NA,NA,NA,NA,NA,NA
"210","UID_9911_9902","F0017","M0014",NA,NA,NA,NA,NA,NA
"211","UID_9914_9390","F0005","M0007",NA,NA,NA,NA,NA,NA
"212","UID_9926_4419",NA,NA,NA,NA,NA,NA,NA,NA
"213","UID_9934_10109",NA,NA,NA,NA,NA,NA,NA,NA
"214","UID_9937_9948","UID_8944_8934","M0019",NA,NA,NA,3,NA,NA
"215","UID_9942_10151","F0005","M0007",NA,NA,NA,NA,NA,NA
"216","UID_9945_9474","UID_9367_9587","UID_8864_8871",NA,NA,NA,3,1,4
"217","UID_9952_9490","UID_9447_9431","UID_9628_9608",NA,NA,NA,0,1,3
"218","UID_9954_9924","UID_8536_7837","UID_8592_8249",NA,NA,NA,2,2,4
"219","UID_9964_10271","UID_10095_10094","UID_8864_8871",NA,NA,NA,0,0,0
"220","UID_9979_9976","F0017","M0014",NA,NA,NA,NA,NA,NA
"221","UID_9984_9382",NA,NA,NA,NA,NA,NA,NA,NA
"222","F0001",NA,NA,NA,NA,NA,NA,NA,NA
"223","F0002",NA,NA,NA,NA,NA,NA,NA,NA
"224","F0003",NA,NA,NA,NA,NA,NA,NA,NA
"225","F0004",NA,NA,NA,NA,NA,NA,NA,NA
"226","F0005",NA,NA,NA,NA,NA,NA,NA,NA
"227","F0006","F0034","M0002",NA,NA,NA,NA,NA,NA
"228","F0007",NA,NA,NA,NA,NA,NA,NA,NA
"229","F0008",NA,NA,NA,NA,NA,NA,NA,NA
"230","F0009",NA,NA,NA,NA,NA,NA,NA,NA
"231","F0010",NA,NA,NA,NA,NA,NA,NA,NA
"232","F0011",NA,NA,NA,NA,NA,NA,NA,NA
"233","F0012","F0009","M0018",NA,NA,NA,NA,NA,NA
"234","F0013",NA,NA,NA,NA,NA,NA,NA,NA
"235","F0014",NA,NA,NA,NA,NA,NA,NA,NA
"236","F0015",NA,NA,NA,NA,NA,NA,NA,NA
"237","F0016",NA,NA,NA,NA,NA,NA,NA,NA
"238","F0017","F0012","M0014",NA,NA,NA,NA,NA,NA
"239","F0018",NA,NA,NA,NA,NA,NA,NA,NA
"240","F0019",NA,NA,NA,NA,NA,NA,NA,NA
"241","F0020",NA,NA,NA,NA,NA,NA,NA,NA
"242","F0021",NA,NA,NA,NA,NA,NA,NA,NA
"243","F0022",NA,NA,NA,NA,NA,NA,NA,NA
"244","F0023",NA,NA,NA,NA,NA,NA,NA,NA
"245","F0024",NA,NA,NA,NA,NA,NA,NA,NA
"246","F0025",NA,NA,NA,NA,NA,NA,NA,NA
"247","F0026",NA,NA,NA,NA,NA,NA,NA,NA
"248","F0027",NA,NA,NA,NA,NA,NA,NA,NA
"249","F0028",NA,NA,NA,NA,NA,NA,NA,NA
"250","F0029",NA,NA,NA,NA,NA,NA,NA,NA
"251","F0030",NA,NA,NA,NA,NA,NA,NA,NA
"252","F0031",NA,NA,NA,NA,NA,NA,NA,NA
"253","F0032",NA,NA,NA,NA,NA,NA,NA,NA
"254","F0033","UID_8694_8697","M0006",NA,NA,NA,NA,NA,NA
"255","F0034",NA,NA,NA,NA,NA,NA,NA,NA
"256","F0035",NA,NA,NA,NA,NA,NA,NA,NA
"257","F0036","UID_4508_4512","M0006",NA,NA,NA,NA,NA,NA
"258","F0037","UID_8480_8352",NA,NA,NA,NA,NA,NA,NA
"259","F0038",NA,NA,NA,NA,NA,NA,NA,NA
"260","F0039","UID_10095_10094",NA,NA,NA,NA,NA,NA,NA
"261","F0040","UID_6835_6898",NA,NA,NA,NA,NA,NA,NA
"262","M0001",NA,NA,NA,NA,NA,NA,NA,NA
"263","M0002",NA,NA,NA,NA,NA,NA,NA,NA
"264","M0003",NA,NA,NA,NA,NA,NA,NA,NA
"265","M0004",NA,NA,NA,NA,NA,NA,NA,NA
"266","M0005",NA,NA,NA,NA,NA,NA,NA,NA
"267","M0006",NA,NA,NA,NA,NA,NA,NA,NA
"268","M0007",NA,NA,NA,NA,NA,NA,NA,NA
"269","M0008",NA,NA,NA,NA,NA,NA,NA,NA
"270","M0009",NA,NA,NA,NA,NA,NA,NA,NA
"271","M0010","UID_9583_10038","M0014",NA,NA,NA,NA,NA,NA
"272","M0011",NA,"M0027",NA,NA,NA,NA,NA,NA
"273","M0012",NA,NA,NA,NA,NA,NA,NA,NA
"274","M0013",NA,NA,NA,NA,NA,NA,NA,NA
"275","M0014",NA,NA,NA,NA,NA,NA,NA,NA
"276","M0015",NA,NA,NA,NA,NA,NA,NA,NA
"277","M0016",NA,NA,NA,NA,NA,NA,NA,NA
"278","M0017",NA,NA,NA,NA,NA,NA,NA,NA
"279","M0018",NA,NA,NA,NA,NA,NA,NA,NA
"280","M0019","F0006","M0004",NA,NA,NA,NA,NA,NA
"281","M0020",NA,NA,NA,NA,NA,NA,NA,NA
"282","M0021",NA,NA,NA,NA,NA,NA,NA,NA
"283","M0022",NA,NA,NA,NA,NA,NA,NA,NA
"284","M0023",NA,NA,NA,NA,NA,NA,NA,NA
"285","M0024",NA,NA,NA,NA,NA,NA,NA,NA
"286","M0025",NA,NA,NA,NA,NA,NA,NA,NA
"287","M0026",NA,NA,NA,NA,NA,NA,NA,NA
"288","M0027","F0012","M0014",NA,NA,NA,NA,NA,NA
"289","M0028",NA,NA,NA,NA,NA,NA,NA,NA
"290","M0029",NA,NA,NA,NA,NA,NA,NA,NA
"291","M0030",NA,NA,NA,NA,NA,NA,NA,NA
"292","M0031",NA,NA,NA,NA,NA,NA,NA,NA
"293","M0032",NA,NA,NA,NA,NA,NA,NA,NA
"294","M0033",NA,NA,NA,NA,NA,NA,NA,NA
"295","M0034",NA,NA,NA,NA,NA,NA,NA,NA
"296","M0035",NA,NA,NA,NA,NA,NA,NA,NA
"297","M0036",NA,NA,NA,NA,NA,NA,NA,NA
"298","M0037","F0004","M0006",NA,NA,NA,NA,NA,NA
"299","M0038",NA,NA,NA,NA,NA,NA,NA,NA
"300","M0039","F0017","UID_9054_9063",NA,NA,NA,NA,NA,NA
